Local Time,Real Energy Into the Load
2025-Aug-07 17:15:00.000,3866429
2025-Aug-07 17:30:00.000,3866429
2025-Aug-07 17:45:00.000,3866429
2025-Aug-07 18:00:00.000,3866429
2025-Aug-07 18:15:00.000,3866429
2025-Aug-07 18:30:00.000,3866429
2025-Aug-07 18:45:00.000,3866429
2025-Aug-07 19:00:00.000,3866429
2025-Aug-07 19:15:00.000,3866429
2025-Aug-07 19:30:00.000,3866429
2025-Aug-07 19:45:00.000,3866429
2025-Aug-07 20:00:00.000,3866429
2025-Aug-07 20:15:00.000,3866429
2025-Aug-07 20:30:00.000,3866429
2025-Aug-07 20:45:00.000,3866429
2025-Aug-07 21:00:00.000,3866429
2025-Aug-07 21:15:00.000,3866429
